,0.001,0.01,0.99,0.999
MGEL3,0.0,0.0,0.0,0.0
BRKM5,-0.1882845159331718,-0.0738233417863338,0.07869172741735032,0.19459778140708717
VIVR3,-0.4054650689958948,-0.22314357478157082,0.28768211156405055,0.4054650689958948
DASA3,-0.15823808936153044,-0.08926059722655943,0.10050194069138513,0.1948441805520137
ACNB34,-0.1022636965974059,-0.04903219786336122,0.05811891983210152,0.11528068621648445
HYPE3,-0.11355611690673074,-0.057508946508484926,0.05676804560791076,0.1048617890626306
WEGE3,-0.1022031682767892,-0.04822839464056049,0.05029362631968813,0.0885878385528054
XBOV11,-0.10303429519765202,-0.03847808069647649,0.036767058141700885,0.07128241633568391
EGIE3,-0.0654258672370474,-0.03891546198046225,0.040264734797138386,0.05792970840696769
SLED4,-0.1802098203107815,-0.10199701643159907,0.09657295268708121,0.34284223523176083
VALE3,-0.11928430901963064,-0.06314512221943229,0.06792349673083473,0.10508361753885892
WUNI34,-0.10797998835569247,-0.05732903474219211,0.0570605938674632,0.14148753322037022
MRCK34,-0.08585778565327329,-0.0466751392695048,0.04907114193652159,0.09763604017659222
GSHP3,-0.2538705892943513,-0.09564954359835653,0.09357408751153451,0.3015134503116973
SNSY3,-0.5896386640478275,-0.13413526096986553,0.1387042507102895,0.6921393081387337
MSPA3,-0.2587717950188855,-0.012682698559029185,0.036929794460827045,0.2504446171835034
MRSA5B,-0.19700651349425408,-0.03613775441758483,0.10172318316658661,0.3165199515405325
EQTL3,-0.09506483587717694,-0.041936018285580794,0.04586188963439163,0.07746686457151405
MYPK3,-0.13840660562594959,-0.06209289266645739,0.06576808798940718,0.130635280913339
BOAC34,-0.13302638135070516,-0.05272476725184511,0.0629229712210722,0.22167044628180826
ODER4,0.0,0.0,0.003506109090064815,0.6584617584169056
ENMT3,-0.2553502347601517,-0.09297978884965342,0.08022629063167246,0.255720462856484
SOND6,-0.212449469423379,-0.08655991961954665,0.13001905368032368,0.280732763980634
PATI3,-0.21271896236815974,-0.09962788104171139,0.09720045742499593,0.25813447043750537
EUCA4,-0.1270072622534837,-0.07613807053312623,0.08515784291627458,0.14975431088048072
FICT3,-0.30400314827712493,-0.223143283760585,0.25131452985042546,0.4912119160939493
TXRX3,-0.6660160816448473,-0.19510112773849944,0.20875408788662614,0.6941658388988047
HBOR3,-0.208611111549045,-0.08103665791153357,0.09045383159930916,0.1883504511432438
MAPT3,-0.3667383401600028,-0.0763038242960532,0.0,0.51183087921995
LUPA3,-0.33193166694382525,-0.15917243304932502,0.1884924594495804,0.47781811299719135
RENT3,-0.1343464017008847,-0.059838863449161256,0.06085843741614854,0.10460370534446105
TKNO3,-4.621441656404921e-06,0.0,0.0024866602654087778,0.10491125407743107
MTIG3,-0.38740899338349927,-0.1652405507773744,0.15320605656814287,0.4703007235474581
ARNC34,-0.18874000205524344,-0.042641478781452934,0.05764354238846179,0.2651278932274653
GRND3,-0.09119365713389317,-0.05407883608883293,0.053324978289616964,0.08338775379538273
INEP4,-0.20503784921940438,-0.11909801806637813,0.14374273876116664,0.3013688038073165
MACY34,-0.2768095068584447,-0.09542348560627188,0.12000817213777952,0.1930497047602555
ECOR3,-0.16171731274622225,-0.06473328580233141,0.07025695050731506,0.11037185106564752
CHVX34,-0.10032805531484949,-0.04910819625170552,0.05553512306072148,0.10255770486938254
ABBV34,-0.1090581222173562,-0.05905394437268431,0.06051392887787386,0.1259712910556629
TENE5,-0.31448478573347277,-0.037334651810784436,0.0,0.3991346544543351
BERK34,-0.06130783505828705,-0.03590103408636547,0.03851885750782118,0.06503633785899374
FCXO34,-0.24723257465511647,-0.08011197334304172,0.07874166742501373,0.17769747796058466
WHRL3,-0.15081203279087838,-0.07084383767300333,0.07799953151694808,0.17284527125712304
SBUB34,-0.10395381458842229,-0.05002244683682073,0.05634385638635841,0.13216618447049844
NFLX34,-0.17697502556654118,-0.06711643308214703,0.084615438718298,0.18863435444904608
AELP3,-0.19804519293353748,-0.09444145297331366,0.0873259585790941,0.2414744964279375
HBTS5,-0.27956172342943103,-0.11793250710964653,0.14473105718022172,0.4310595926962901
GDBR34,-0.1024807748501206,-0.04838685932486048,0.04789013350753732,0.1467389124989285
ECOO11,-0.11625587118751196,-0.0391466664633777,0.03687748296144147,0.07095309870814816
VLID3,-0.12659615034160732,-0.06312519485756356,0.07469414844711758,0.13393831701244274
GFSA3,-0.23143403252019776,-0.1077233863679479,0.11588302585672028,0.28646181439811275
BGIP4,-0.14414281223527786,-0.07499967424691174,0.08283169916436416,0.18706921184025763
SHOW3,-0.1940034538719794,-0.08934078067640093,0.09733198223021229,0.16509862823584223
SMTO3,-0.10386118877912202,-0.05505748743666891,0.057505094364604416,0.09623467260824964
RNEW4,-0.21393554418744834,-0.09919674035230806,0.13174378027481062,0.514490639967251
HPQB34,-0.18990330213831522,-0.06124033901570215,0.05813818326161322,0.291654803625393
CGAS3,-0.146479600380784,-0.0641775656017913,0.07514883304378087,0.18179264551259822
OSXB3,-0.323778219745818,-0.14323768029798153,0.18232154769069975,0.5245274255648317
ECPR4,-0.19821917523402563,-0.03654120502708917,0.06641000921687538,0.24303602404821728
BIOM3,-0.18261314727113998,-0.09578749766414356,0.11391581212372628,0.31502740938631313
TSLA34,-0.20639986077568298,-0.10385518217694459,0.12144945296724434,0.17146109427833642
BRAX11,-0.08711992480083502,-0.03704765292340445,0.03466962339455657,0.07715115229073419
SEER3,-0.18541667395348074,-0.09225962239992368,0.09075075320780454,0.1615015217891904
DAGB33,-0.08349435407474848,-0.042581433953915074,0.03967238287927459,0.07716454321553046
BEEF3,-0.14447927349821235,-0.06675499027637755,0.06484884224493127,0.10319651604891332
CGRA4,-0.10764658127582362,-0.05397972900962516,0.05855164569934258,0.10894934217573998
BBDC3,-0.13644015141674043,-0.053001516763154025,0.054208353726131274,0.10104562570061074
ODPV3,-0.08817761098536489,-0.054043529855772425,0.05256918034122297,0.071432111668596
CSUD3,-0.15116378060228142,-0.07021047623581175,0.07624919044537505,0.12671130466898742
CGAS5,-0.11649453361162967,-0.04795198527630488,0.061579071991356926,0.1534464935243884
GOAU3,-0.1544001012024856,-0.07063997751446577,0.06499892702532778,0.12093166459295017
ARMT34,-0.188154018274025,-0.06395456284677514,0.06403755071994412,0.14927040422931853
SAPR3,-0.22979690738780936,-0.06468487947408542,0.06947449889496267,0.14639737232529926
RPAD6,-0.21276582324441623,-0.10244849484356286,0.10250175817439733,0.26021706517210913
COWC34,-0.08100113941692282,-0.04666956574622195,0.04648728017744916,0.0731959693692324
MERC3,-0.25083975644742496,-0.045032269200473034,0.02834378193390521,0.36363086298991115
KMBB34,-0.09242910304791507,-0.04889586922771142,0.0562619591596281,0.13108747224545442
SAPR4,-0.11253725636703854,-0.056860428914631646,0.06080199639736402,0.12003114647551351
HSHY34,-0.10144214591902401,-0.04718870797739732,0.05154773185184269,0.15267092922726583
MNDL3,-0.2013115914265504,-0.11790019190260241,0.1335314241298349,0.31029410002761026
SOND5,-0.18168826696389476,-0.08483090527221596,0.11510261006835507,0.23081588971043585
ROST34,-0.19550031709215812,-0.05018067278874314,0.06970926435081704,0.13986406069316368
UNIP3,-0.13839855952340807,-0.0848556625528891,0.09309029149686524,0.15451966145907187
SBSP3,-0.1097996921915487,-0.057530629413113245,0.060344099673016495,0.10468474809384319
EQPA7,-0.49480865957902115,-0.12354973889895528,0.1547040388449193,0.37768365518298586
PRIO3,-0.2551548635865181,-0.11504097471571202,0.11493225696863402,0.28068142650939376
SLCE3,-0.08365713348464891,-0.05730737969232271,0.06034477105771925,0.08566228619772154
MILS3,-0.16632995374239423,-0.08367565646802622,0.087040756245471,0.13510237207700748
ABEV3,-0.08651362949733926,-0.04173719033130791,0.044409259945161074,0.08536995939398553
CEGR3,-0.16301128369929643,-0.004392836001278657,0.03392455923705463,0.2888969089340174
AZEV3,-0.4858572199510368,-0.12020695098977474,0.14835959007827063,0.6929908780840582
RNEW3,-0.31483552893492617,-0.10149706404950191,0.10025123642967412,0.3427051299016383
VALE5,-0.09063634982720702,-0.0531348161938496,0.06024370389273489,0.09270044320565417
TCSA3,-0.14264361260100425,-0.07921108704328929,0.08532997855612721,0.1377069532623372
AMAR3,-0.2568498014605177,-0.08126154786170683,0.09137667703022646,0.16661919661444008
DUKB34,-0.08284819893936671,-0.04292625125972227,0.05009394753919626,0.10682240893128866
OIBR4,-0.32756970567256033,-0.11643165934700536,0.12676259590180927,0.25014405950674196
TGTB34,-0.16614165979835024,-0.06192427786430098,0.06235325998835534,0.1422991516977637
BRKM3,-0.13896370788399237,-0.06974822402923808,0.07610257687307517,0.1376683558754609
MOVI3,-0.18048834009862877,-0.08424341891292808,0.08634272711913879,0.1542453572769626
GEPA4,-0.12488227637351752,-0.06264193856937861,0.05867451042319245,0.1215217265307194
BPAN4,-0.15894272931030717,-0.07504187009769317,0.09525520630675753,0.20808716322467144
CRPG6,-0.2600900978297849,-0.10536056619854213,0.10424761298716152,0.21964081373955818
BLAK34,-0.12601647359092874,-0.0519193576144258,0.05756865196805928,0.15702399978212192
BALM3,-0.1589746759002172,-0.06480042554215089,0.07336893092584858,0.27657646043295847
FIBR3,-0.09416710303156593,-0.05182609080890715,0.05548061067416226,0.07862746108897349
PDTC3,-0.17236848199382293,-0.11144544738458372,0.1134008679630667,0.2278914774119884
USIM3,-0.168758128860575,-0.08242330768156858,0.09871723903384981,0.18626971517802193
BPAR3,0.0,0.0,0.02384371045351652,0.2863641106006825
BRIV4,-0.11690522210673675,-0.07004929222985141,0.0751816204667285,0.14120129095694603
BRGE11,-0.2229980672422057,-0.08641077577300531,0.09109993351269555,0.29993494673079074
SANB3,-0.13357452057352817,-0.08701126972868412,0.08004300326804173,0.15425135437488785
RIGG34,-0.2917327964745132,-0.13444507289377416,0.1289809983446996,0.34700292484566503
SLED3,-0.35667494536562777,-0.131683172062978,0.1416405369649662,0.44789139737095834
FDXB34,-0.1490324163514161,-0.04715265931608945,0.06494028686170579,0.19238322337947342
PEPB34,-0.060283685126641354,-0.03860885947644466,0.04150246010514838,0.07244203142508493
BRAP3,-0.10138499794449528,-0.06336765966862308,0.06684654158670918,0.10849879320796181
UNIP6,-0.14853072141770232,-0.06533506405771079,0.07550526300373941,0.13573997196974819
MSPA4,-0.11818335811536682,-0.0052925962385531366,0.002578009174659534,0.14068464574794207
RYTT34,-0.12827694593031572,-0.05714971174033651,0.05909061731803575,0.1334449185014573
BIIB34,-0.14384863971934517,-0.06125855689436524,0.07201748164049628,0.27936612310012215
KHCB34,-0.09248724711685877,-0.051923168071320115,0.04996551625156602,0.09455566538251366
GPRO34,-0.2989247846947683,-0.11063666935666339,0.12371760181014758,0.30574597833497097
BDLL4,-0.18461684018978858,-0.09531019489991809,0.10142852112952783,0.26337051871526174
RAPT3,-0.19998452465408073,-0.07954275838331794,0.07952366292752999,0.13144258040153628
GPAR3,-0.6175607860090503,-0.14345230425061242,0.13863933830142136,0.5231144336492863
GSGI34,-0.10024378055129984,-0.047251932976927036,0.05342654811410693,0.10727342657610059
DOHL4,-0.14350960143255537,-0.07050147580701309,0.07344751890819422,0.17590269772710748
COCE6,0.0,0.0,0.0,0.10800772233103517
RAPT4,-0.16277071867601467,-0.06169988663301034,0.06617426848579626,0.12142310778297387
KLBN3,-0.1589502226137022,-0.07873228169979601,0.08049815355348403,0.15340742611604
HOOT4,-0.18553664766156344,-0.10449693332438571,0.12226866746609087,0.28485287954996574
FRIO3,-0.2232297291097769,-0.1257028887376094,0.14093351197993856,0.3435914480796194
FBMC3,0.0,0.0,0.0,7.531116980205389e-05
CATP34,-0.10585995013783141,-0.058731569046118086,0.05932926295229586,0.11582410170429633
LILY34,-0.1054343260943606,-0.0573168607410959,0.07332484138222274,0.14450371776710472
COGN3,-0.23256771971021953,-0.08267211726496669,0.09203732154491225,0.15745394092696133
VLOE34,-0.17010632085131278,-0.06321922694510998,0.07816206518317101,0.14619455718081062
IBMB34,-0.09386637360214381,-0.04852970216752515,0.052049684640178756,0.09306117501493734
MGEL4,-0.23046861965825993,-0.13404505578385545,0.131762634987038,0.349333145327333
GGBR3,-0.11353447187212491,-0.06298053034227803,0.06616169784140306,0.10243145107789355
MSFT34,-0.09201397473931745,-0.04539926236738677,0.04979389008864932,0.09612757635510619
PSSA3,-0.07006070657704666,-0.04617101290067262,0.0496691423949239,0.07843387400209491
LFFE4,-0.36259565514401887,-0.019566990868231486,0.0,0.3683529692518047
CTKA4,-0.23350294392822932,-0.13353139262452263,0.1621370232518639,0.4358931510701136
BOVA11,-0.09024851830609847,-0.03608740824089001,0.036511087756437466,0.06749043976311574
EKTR3,-0.1770108059848185,-0.057485505784196894,0.06779189987176942,0.27455498180010884
KLBN11,-0.08998012674946679,-0.04011430844800479,0.04895345470112588,0.07660785212968413
RCSL3,-0.4057061186720711,-0.22314353052388822,0.22314353052388824,0.5288902660680266
TRVC34,-0.08485532277877332,-0.03841727855775957,0.04810130171293683,0.18038955780030722
ENGI4,-0.18111875668126967,-0.08940537638679702,0.08238405477437198,0.16414361216857387
TELB4,-0.27334160465090646,-0.10689961315392561,0.17183917574698218,0.47379759889050255
WALM34,-0.08338093738951263,-0.04057544237850529,0.048079206271952404,0.11619404753198391
BOVV11,-0.12053439335135108,-0.03470772363747817,0.031112526491670078,0.06703785539631622
PEAB3,-0.1278700530587033,-0.07506165556194604,0.07966108128668434,0.1856049416265799
MMAQ3,0.0,0.0,0.0,0.00652861566759774
CYRE3,-0.1776788441311154,-0.06606586340103467,0.07056457887735938,0.1172740953674663
MSCD34,-0.07773583447570813,-0.04906070348468302,0.050171819701841605,0.12371161179499487
ORCL34,-0.11840862184932177,-0.05600766348960467,0.057659478540004645,0.1445170572258591
TXRX4,-0.34838572984091065,-0.17252113031575347,0.2273081199526456,0.47853883856622204
BOXP34,-0.13784368453599968,-0.05813213529720701,0.06942971046076184,0.15330881114664976
NATU3,-0.1022296241141156,-0.04630808908479972,0.050983890006201814,0.0966106785515344
JHSF3,-0.14394276477532564,-0.06862089947530489,0.07983632157054289,0.14583458994617676
MRSA6B,-0.1596469801874014,-0.019967458726426145,0.048919239937492746,0.247204985352478
OIBR3,-0.4439687152157653,-0.13271345703730406,0.13978610631749017,0.35182371934080164
PINE4,-0.13850855078026086,-0.0680975030384943,0.07796850681354404,0.21226143664330105
RPAD5,-0.22175118770411,-0.0873370461138488,0.08860027723873833,0.19356599414333156
CTNM4,-0.16291776544126027,-0.09482467342166052,0.11133498811880238,0.23129289589738733
AALR3,-0.2156696082885343,-0.10505994590230042,0.09424884681771858,0.1412861378013746
HETA3,-0.40815022427423436,0.0,0.0,0.48570782616829394
MOAR3,-0.21624419944262702,-0.07780404021424278,0.06035705194462376,0.15339609763302203
ATTB34,-0.08305223734644103,-0.046823736661833724,0.047606454830194225,0.08603621496020356
TAEE3,-0.0782325589209648,-0.03653414696061884,0.039630776953720546,0.08562044938526174
BTTL4,-0.19042539501521966,-0.09609975431000849,0.09468046818503995,0.20443845314842027
CPFE3,-0.0796168730258788,-0.041619077118842794,0.044831578348360844,0.07489238998938023
CSNA3,-0.15714085701524402,-0.08275286945546097,0.09229291015999781,0.1599368961865761
LIGT3,-0.18986450406598163,-0.08266095455553404,0.09035065296765975,0.16894960377939877
JPMC34,-0.07604027619395289,-0.045218369677760085,0.05176383994153227,0.09697813738631232
GEPA3,-0.12575382389800205,-0.06386083327721982,0.07373859208098692,0.12726341685080506
BBYY34,-0.14560035199025684,-0.0657894619392216,0.07297905652525666,0.20385573911270097
TUPY3,-0.098735559953566,-0.05462056258917556,0.05839649912724895,0.10379256238047146
TMOS34,-0.08775140656371934,-0.05601127521530159,0.0639511938932493,0.09864549313627183
VISA34,-0.07620622102748917,-0.04250224158047655,0.04704720258463882,0.10880120827666843
TERI3,-0.15893410891465679,-0.06447276237727761,0.055044361751762846,0.21470714120838738
MGLU3,-0.2048167815289226,-0.09741154727390258,0.10436403178129368,0.23496279744762144
BAZA3,-0.12039681610724132,-0.057158278275661806,0.0711260229225696,0.14625765694132564
TEND3,-0.17176796604933067,-0.07583025814582628,0.07889552342318884,0.15224319343748116
CTGP34,-0.130062441456346,-0.056613217711444605,0.06582084771667014,0.1291814209193696
INEP3,-0.22418587376197746,-0.12783334983546882,0.15897161991459172,0.32018096614235575
UPSS34,-0.11041407511531,-0.053250295995086155,0.04954459008589797,0.13825592006810714
EQMA3B,-0.14945821267443724,-0.061820629065744856,0.06918715205625092,0.1544594798197674
CBEE3,-0.22619753137112544,-0.12169780422590101,0.1305892160030682,0.28099611927640794
TASA4,-0.19775144398637126,-0.09649835555107202,0.11075155246647451,0.2523996187014749
ALPA4,-0.154850717017061,-0.06696123593640921,0.06155784915601221,0.12935886946016134
DHBI3,0.0,0.0,0.0,0.0030851195307667273
IMBI3,-0.33211591679413904,-0.09837342542457524,0.09089758788590067,0.35790601422404505
HAGA3,-0.21346504078068645,-0.11546872495645882,0.12715189444715058,0.2442478507949969
CASN3,-0.4018465541406636,0.0,0.0,0.4109685379768023
PGCO34,-0.06935914013788232,-0.03969437137020278,0.0413274704947489,0.08470570089322929
USIM6,-0.31091096754348246,-0.1197471206448244,0.12145363661203633,0.3126714319578236
SOND3,-0.13458452073737448,0.0,0.0,0.2561302613885052
MTSA3,-0.24952666073955804,0.0,0.009018447753700044,0.24192671088307524
CASN4,-0.18244492427824166,0.0,0.0,0.12138577436662233
UCAS3,-0.14913398391942367,-0.07096565915220779,0.08152639587109922,0.12906359598676487
FRAS3,-0.34969850245815165,-0.05509092773464242,0.059717376152824485,0.5074650663384715
GGBR4,-0.12953183007352012,-0.06600683139924424,0.06910174392388838,0.10432713490715317
SGPS3,-0.19438439910683572,-0.09701202641347555,0.11822038491125546,0.27245257435227804
BPAC3,-0.12608784135948245,-0.07243583866047064,0.09476809123250364,0.26466606929876246
